Año,zona_geografica,Tipo de delito,Total_Anual
2023,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,995
2023,AMG,Otros delitos que atentan contra la libertad personal,919
2023,AMG,Despojo,915
2023,AMG,Otros delitos contra la familia,743
2023,AMG,Falsificación,720
2023,AMG,Violación simple,430
2023,AMG,Extorsión,347
2023,AMG,Delitos cometidos por servidores públicos,313
2023,AMG,Acoso sexual,247
2023,AMG,Corrupción de menores,104
2023,AMG,Hostigamiento sexual,100
2023,AMG,Allanamiento de morada,94
2023,AMG,Falsedad,92
2023,AMG,Violación equiparada,39
2023,AMG,Contra el medio ambiente,33
2023,AMG,Feminicidio,24
2023,AMG,Secuestro,14
2023,AMG,Aborto,5
2023,AMG,Otros delitos contra la sociedad,4
2023,AMG,Evasión de presos,3
2023,AMG,Trata de personas,1
2023,AMG,Electorales,0
2023,AMG,Incesto,0
2023,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2023,AMG,Otros delitos contra el patrimonio,0
2023,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2023,AMG,Rapto,0
2023,AMG,Tráfico de menores,0
2023,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2023,Interior,Robo,7045
2023,Interior,Lesiones,5793
2023,Interior,Violencia familiar,4405
2023,Interior,Amenazas,2588
2023,Interior,Fraude,2228
2023,Interior,Otros delitos del Fuero Común,1636
2023,Interior,Daño a la propiedad,1064
2023,Interior,Abuso sexual,1061
2023,Interior,Homicidio,920
2023,Interior,Falsificación,639
2023,Interior,Despojo,621
2023,Interior,Otros delitos contra la familia,469
2023,Interior,Abuso de confianza,356
2023,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,349
2023,Interior,Extorsión,238
2023,Interior,Otros delitos que atentan contra la libertad personal,146
2023,Interior,Narcomenudeo,138
2023,Interior,Violación simple,129
2023,Interior,Allanamiento de morada,109
2023,Interior,Acoso sexual,107
2023,Interior,Delitos cometidos por servidores públicos,101
2023,Interior,Falsedad,48
2023,Interior,Hostigamiento sexual,25
2023,Interior,Corrupción de menores,24
2023,Interior,Contra el medio ambiente,14
2023,Interior,Feminicidio,13
2023,Interior,Violación equiparada,8
2023,Interior,Aborto,3
2023,Interior,Secuestro,2
2023,Interior,Evasión de presos,1
2023,Interior,Trata de personas,1
2023,Interior,Electorales,0
2023,Interior,Incesto,0
2023,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2023,Interior,Otros delitos contra el patrimonio,0
2023,Interior,Otros delitos contra la sociedad,0
2023,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2023,Interior,Rapto,0
